ID,word,button01,goID,button02,goID,time
1,滋......滋......滋......,,,,,1
2,滋......滋......滋......,,,,,1
3,咚......咚......咚......（敲击麦克风的声音）,有病啊！阿彬！,4,是谁？,4,3
4,救命,你是谁？,5,发生什么事了？,5,3
5,救命！救命！,冷静！,6,别开玩笑了!,6,3
6,救命！,冷静点，告诉我发生什么了。,7,别开玩笑了，你到底是谁，否则我切换频率了。,7,3
7,我被人绑架了！,,,,,3
8,救我！,,,,,3
9,我被关起来了！,,,,,3
10,我什么都看不到！,你被谁绑架了？,11,你是盲人？,20,3
11,我不知道,,,,,3
12,我在准备进家门的时候被人从后面用毛巾捂住了嘴,,,,,3
13,后面我就什么都不知道了,,,,,3
14,等我醒来时候我就在这里了,,,,,3
15,一篇漆黑,,,,,3
16,什么都看不见,,,,,3
17,我不知道我再哪里,,,,,3
18,我不知道谁绑架了我,,,,,3
19,救救我！,冷静冷静,28,你怎么会有无线电设备？,36,3
20,我不是盲人,,,,,3
21,这里一篇漆黑,,,,,3
22,什么都看不见,,,,,3
23,我被人绑架了,,,,,3
24,我在准备进家门的时候被人从后面用毛巾捂住了嘴,,,,,3
25,后面我就什么都不知道了,,,,,3
26,等我醒来时候我就在这里了,,,,,3
27,救救我,冷静冷静,28,你怎么会有无线电设备？,36,3
28,好的,,,,,3
29,我试着让自己冷静,,,,,3
30,我被绑着,,,,,3
31,我应该是被绑在椅子上,,,,,3
32,我挣扎着,,,,,3
33,然后椅子翻了,,,,,3
34,然后我的腿就踢到了什么东西,,,,,3
35,然后就听到你发出的声音了,我该怎么救你呢，我都不知你在哪里？,45,你踢到的东西应该就是无线电设备了。,56,3
36,什么无线电,,,,,3
37,我不知道你在说什么,,,,,3
38,我什么都没有,,,,,3
39,我被绑着,,,,,3
40,我应该是被绑在椅子上,,,,,3
41,我挣扎着,,,,,3
42,然后椅子翻了,,,,,3
43,然后我的腿就踢到了什么东西,,,,,3
44,然后就听到你发出的声音了,我该怎么救你呢，我都不知你在哪里？,45,你踢到的东西应该就是无线电设备了。,56,3
45,我不知道,,,,,3
46,我不知道,,,,,3
47,我这里一片黑,,,,,3
48,我的头脑一片混乱,,,,,3
49,天哪,,,,,3
50,你报警啊！,,,,,3
51,报警来救我！,,,,,3
52,我叫常艺湄,,,,,3
53,我住在新苑小区28号902室,,,,,3
54,我就是在家门口被绑架的,,,,,3
55,你快报警救我,我.......我不能报警,64,你能自己逃跑吗,68,3
56,天哪！,,,,,3
57,别管什么无线电了！,,,,,3
58,救我！,,,,,3
59,报警来救我！,,,,,3
60,我叫常艺湄,,,,,3
61,我住在新苑小区28号902室,,,,,3
62,我就是在家门口被绑架的,,,,,3
63,你快报警救我！,我。。。。。。我不能报警！,64,你能自己逃跑吗,68,3
64,你疯了吗？！,,,,,3
65,我被绑架了啊,,,,,3
66,我被绑架了啊,,,,,3
67,为什么你不报警？！,我正被警察通缉,76,我没有电话,80,3
68,你疯了吗？！,,,,,3
69,我被绑在椅子上,,,,,3
70,我还摔倒在地,,,,,3
71,你让我自己逃跑,,,,,3
72,我动都动不了,,,,,3
73,什么也看不见,,,,,3
74,你竟然让我自己逃跑,,,,,3
75,为什么你不报警？！,我正被警察通缉,76,我没有电话,80,3
76,天哪天哪天哪,,,,,3
77,我被绑架了,,,,,3
78,而我唯一能联系上的人竟然是个通缉犯,,,,,3
79,不能报警来救我,over,89,,,3
80,出去打公用电话啊,,,,,3
81,去你邻居那里啊,,,,,3
82,我被绑架了啊,,,,,3
83,你快打电话报警啊,我不能报警，我正被警察通缉。,84,关闭无线电设备。,88,3
84,天哪天哪天哪,,,,,3
85,我被绑架了,,,,,3
86,而我唯一能联系上的人竟然是个通缉犯,,,,,3
87,不能报警来救我,,,,,3
88,GAME OVER,,,,,3
